District ID,District Name,School Year,Special Education Status,Total Enrollment ,Students Tested ,Percent Tested ,Percent Absent ,Percent Other ,Below Basic ,Basic ,Proficient ,Goal ,Advanced ,Average Scale Score ,Percent at or Above Goal ,Percent at or Above Proficient 
71,Lebanon School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
72,Ledyard School District,2010-11,N,150,150,100,0,0,0,3.3,18.7,37.3,40.7,277.2,78,96.7
72,Ledyard School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
73,Lisbon School District,2010-11,N,30,30,100,0,0,3.3,13.3,20,40,23.3,250.9,63.3,83.3
73,Lisbon School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
74,Litchfield School District,2010-11,N,74,74,100,0,0,0,1.4,21.6,39.2,37.8,272.2,77,98.6
74,Litchfield School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
76,Madison School District,2010-11,N,232,232,100,0,0,0,0.9,10.3,34.5,54.3,291.4,88.8,99.1
76,Madison School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
77,Manchester School District,2010-11,N,402,399,99.3,0.2,0.5,5.5,6.5,20.3,34.3,33.3,264.5,67.7,88
77,Manchester School District,2010-11,Y,80,35,43.8,2.5,53.8,20,22.9,17.1,25.7,14.3,224,40,57.1
78,Mansfield School District,2010-11,N,122,118,96.7,0,3.3,0.8,3.4,6.8,34.7,54.2,290.7,89,95.8
78,Mansfield School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
79,Marlborough School District,2010-11,N,88,88,100,0,0,0,2.3,17,28.4,52.3,283.8,80.7,97.7
79,Marlborough School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
80,Meriden School District,2010-11,N,592,581,98.1,0.8,1,10.5,12.9,26.3,32.4,17.9,243.4,50.3,76.6
80,Meriden School District,2010-11,Y,90,51,56.7,1.1,42.2,25.5,11.8,33.3,21.6,7.8,218.7,29.4,62.7
83,Middletown School District,2010-11,N,366,363,99.2,0,0.8,5,8,22,34.4,30.6,263.4,65,87.1
83,Middletown School District,2010-11,Y,40,33,82.5,0,17.5,45.5,15.2,12.1,18.2,9.1,201,27.3,39.4
84,Milford School District,2010-11,N,442,439,99.3,0.5,0.2,1.6,2.5,19.6,42.8,33.5,269.1,76.3,95.9
84,Milford School District,2010-11,Y,52,42,80.8,0,19.2,11.9,14.3,33.3,35.7,4.8,229.4,40.5,73.8
85,Monroe School District,2010-11,N,212,211,99.5,0,0.5,0.5,0.9,8.5,36,54,292.5,90,98.6
85,Monroe School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
86,Montville School District,2010-11,N,171,171,100,0,0,2.3,8.2,21.1,33.9,34.5,264.7,68.4,89.5
86,Montville School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
88,Naugatuck School District,2010-11,N,287,287,100,0,0,10.5,9.1,25.1,31.4,24,249.8,55.4,80.5
88,Naugatuck School District,2010-11,Y,29,24,82.8,0,17.2,58.3,20.8,20.8,0,0,175.6,0,20.8
280,"New Beginnings Inc., Family Academy District",2010-11,N,36,36,100,0,0,8.3,13.9,36.1,38.9,2.8,230.1,41.7,77.8
280,"New Beginnings Inc., Family Academy District",2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
89,New Britain School District,2010-11,N,657,642,97.7,0.2,2.1,31,16.5,26.2,20.4,5.9,213.1,26.3,52.5
89,New Britain School District,2010-11,Y,117,35,29.9,2.6,67.5,68.6,8.6,14.3,8.6,0,168.9,8.6,22.9
90,New Canaan School District,2010-11,N,292,290,99.3,0,0.7,0.3,0.3,5.9,33.4,60,297.7,93.4,99.3
90,New Canaan School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
91,New Fairfield School District,2010-11,N,175,175,100,0,0,1.7,2.3,16,37.1,42.9,280.7,80,96
91,New Fairfield School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
92,New Hartford School District,2010-11,N,76,76,100,0,0,0,0,7.9,27.6,64.5,296,92.1,100
92,New Hartford School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
93,New Haven School District,2010-11,N,1298,1284,98.9,0.2,0.9,17.2,14.8,29,25.1,13.9,232.5,39,68
93,New Haven School District,2010-11,Y,161,54,33.5,0,66.5,35.2,9.3,29.6,18.5,7.4,208.6,25.9,55.6
95,New London School District,2010-11,N,208,204,98.1,0.5,1.4,11.3,21.6,37.3,24.5,5.4,227.1,29.9,67.2
95,New London School District,2010-11,Y,45,30,66.7,2.2,31.1,53.3,26.7,10,10,0,185.9,10,20
96,New Milford School District,2010-11,N,310,306,98.7,0,1.3,1.3,6.5,20.9,39.5,31.7,268.2,71.2,92.2
96,New Milford School District,2010-11,Y,61,47,77,0,23,25.5,21.3,23.4,25.5,4.3,218,29.8,53.2
94,Newington School District,2010-11,N,284,282,99.3,0.4,0.4,3.2,3.2,15.6,36.2,41.8,279.1,78,93.6
94,Newington School District,2010-11,Y,26,22,84.6,0,15.4,4.5,4.5,36.4,31.8,22.7,256.6,54.5,90.9
97,Newtown School District,2010-11,N,378,378,100,0,0,0.8,1.3,8.7,32.5,56.6,294.6,89.2,97.9
97,Newtown School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
98,Norfolk School District,2010-11,N,**,**,**,**,**,**,**,**,**,**,**,**,**
98,Norfolk School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
99,North Branford School District,2010-11,N,145,145,100,0,0,2.8,6.9,24.1,33.1,33.1,266.4,66.2,90.3
99,North Branford School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
100,North Canaan School District,2010-11,N,22,22,100,0,0,9.1,4.5,22.7,54.5,9.1,251.2,63.6,86.4
100,North Canaan School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
101,North Haven School District,2010-11,N,253,253,100,0,0,2,4,22.9,33.6,37.5,271.5,71.1,94.1
101,North Haven School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
102,North Stonington School District,2010-11,N,46,46,100,0,0,2.2,2.2,15.2,39.1,41.3,278.5,80.4,95.7
102,North Stonington School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
103,Norwalk School District,2010-11,N,765,761,99.5,0,0.5,5.9,8.3,20.4,32.5,33,263.7,65.4,85.8
103,Norwalk School District,2010-11,Y,86,53,61.6,0,38.4,32.1,15.1,32.1,15.1,5.7,212.6,20.8,52.8
104,Norwich School District,2010-11,N,333,328,98.5,0,1.5,16.5,12.8,21,31.7,18,238.1,49.7,70.7
104,Norwich School District,2010-11,Y,54,32,59.3,0,40.7,46.9,9.4,28.1,6.2,9.4,192.7,15.6,43.8
106,Old Saybrook School District,2010-11,N,110,110,100,0,0,0.9,4.5,29.1,31.8,33.6,264.9,65.5,94.5
106,Old Saybrook School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
107,Orange School District,2010-11,N,160,160,100,0,0,0.6,2.5,8.8,41.2,46.9,285.6,88.1,96.9
107,Orange School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
108,Oxford School District,2010-11,N,161,161,100,0,0,1.2,3.1,19.9,42.2,33.5,271,75.8,95.7
108,Oxford School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
109,Plainfield School District,2010-11,N,175,175,100,0,0,4,10.9,33.1,34.3,17.7,250.2,52,85.1
109,Plainfield School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
110,Plainville School District,2010-11,N,155,153,98.7,1.3,0,3.3,10.5,28.8,30.7,26.8,254.8,57.5,86.3
110,Plainville School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
111,Plymouth School District,2010-11,N,94,94,100,0,0,3.2,6.4,30.9,29.8,29.8,259.9,59.6,90.4
111,Plymouth School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
112,Pomfret School District,2010-11,N,49,49,100,0,0,4.1,2,12.2,42.9,38.8,273.6,81.6,93.9
112,Pomfret School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
113,Portland School District,2010-11,N,103,103,100,0,0,1.9,5.8,21.4,57.3,13.6,256.3,70.9,92.2
113,Portland School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
114,Preston School District,2010-11,N,42,42,100,0,0,0,4.8,19,40.5,35.7,267.3,76.2,95.2
114,Preston School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
116,Putnam School District,2010-11,N,80,79,98.8,0,1.3,3.8,11.4,32.9,30.4,21.5,248.5,51.9,84.8
116,Putnam School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
117,Redding School District,2010-11,N,106,106,100,0,0,0,0,6.6,36.8,56.6,300.4,93.4,100
117,Redding School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
206,Regional School District 06,2010-11,N,80,80,100,0,0,5,8.8,25,41.2,20,254,61.3,86.3
206,Regional School District 06,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
210,Regional School District 10,2010-11,N,162,162,100,0,0,1.2,3.7,19.1,34.6,41.4,276.7,75.9,95.1
210,Regional School District 10,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
212,Regional School District 12,2010-11,N,50,50,100,0,0,2,2,6,26,64,290.8,90,96
212,Regional School District 12,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
213,Regional School District 13,2010-11,N,135,135,100,0,0,0.7,5.9,21.5,38.5,33.3,267.1,71.9,93.3
213,Regional School District 13,2010-11,Y,25,24,96,0,4,8.3,8.3,29.2,41.7,12.5,245.5,54.2,83.3
214,Regional School District 14,2010-11,N,93,93,100,0,0,1.1,1.1,21.5,37.6,38.7,278.7,76.3,97.8
214,Regional School District 14,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
215,Regional School District 15,2010-11,N,308,308,100,0,0,1.6,2.6,10.4,40.9,44.5,282.5,85.4,95.8
215,Regional School District 15,2010-11,Y,40,31,77.5,0,22.5,9.7,16.1,32.3,25.8,16.1,239.4,41.9,74.2
216,Regional School District 16,2010-11,N,178,178,100,0,0,3.4,5.6,15.7,42.1,33.1,267.3,75.3,91
216,Regional School District 16,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
217,Regional School District 17,2010-11,N,183,183,100,0,0,0.5,1.1,14.8,34.4,49.2,284.3,83.6,98.4
217,Regional School District 17,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
218,Regional School District 18,2010-11,N,110,110,100,0,0,0,0,9.1,41.8,49.1,288,90.9,100
218,Regional School District 18,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
118,Ridgefield School District,2010-11,N,343,341,99.4,0,0.6,0,1.2,8.8,37.5,52.5,292,90,98.8
118,Ridgefield School District,2010-11,Y,32,29,90.6,3.1,6.3,3.4,13.8,31,41.4,10.3,243.3,51.7,82.8
119,Rocky Hill School District,2010-11,N,169,169,100,0,0,1.8,4.7,14.8,40.8,37.9,273.9,78.7,93.5
119,Rocky Hill School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
121,Salem School District,2010-11,N,39,39,100,0,0,2.6,7.7,23.1,30.8,35.9,268.2,66.7,89.7
121,Salem School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
122,Salisbury School District,2010-11,N,33,33,100,0,0,0,0,15.2,36.4,48.5,284.8,84.8,100
122,Salisbury School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
123,Scotland School District,2010-11,N,**,**,**,**,**,**,**,**,**,**,**,**,**
123,Scotland School District,2010-11,Y,**,**,**,**,**,**,**,**,**,**,**,**,**
124,Seymour School District,2010-11,N,169,169,100,0,0,5.9,4.1,20.1,40.8,29,264.4,69.8,89.9
